"participant","group","trial_no","time","recalled","word","recall_acc","recall_rt","study_pos","test_pos","image","item_type","id"
"5757ffc116d587000824703f","older",1,1,"JUNG","JUNGLE",FALSE,9.98813,0,1,"salt","mis-match",1089
"5757ffc116d587000824703f","older",1,2,"BODY","HONEY",FALSE,8.755095,3,2,"suitcase","match",1089
"5757ffc116d587000824703f","older",1,3,"LIFE","LIFE",TRUE,3.89435,1,3,"carrot","new-new",1089
"5757ffc116d587000824703f","older",1,4,"BODY","BODY",TRUE,9.7495,2,4,"gorilla","old-new",1089
"5757ffc116d587000824703f","older",2,1,"ROOF","COPS",FALSE,6.2791,1,1,"tractor","new-new",1090
"5757ffc116d587000824703f","older",2,2,"LIFE","ROOF",FALSE,3.752125,0,2,"megaphone","new-new",1090
"5757ffc116d587000824703f","older",2,3,"COPS","GODS",FALSE,5.03482,3,3,"bench","new-new",1090
"5757ffc116d587000824703f","older",2,4,"BOYS","BOYS",TRUE,4.76794,2,4,"razor","new-new",1090
"5757ffc116d587000824703f","older",3,1,"CANDY","NATION",FALSE,6.18659,2,1,"tyre","new-new",1091
"5757ffc116d587000824703f","older",3,2,"AREA","WRITER",FALSE,6.031715,3,2,"dice","mis-match",1091
"5757ffc116d587000824703f","older",3,3,"BATH","AREA",FALSE,3.96144,1,3,"helmet","old-new",1091
"5757ffc116d587000824703f","older",3,4,"CANDY","CANDY",TRUE,6.720615,0,4,"pawn","match",1091
"5757ffc116d587000824703f","older",4,1,"AGENT","AGENT",TRUE,5.551185,0,1,"watch","new-new",1092
"5757ffc116d587000824703f","older",4,2,"WOMEN","CASINO",FALSE,5.34368,3,2,"pepper","new-new",1092
"5757ffc116d587000824703f","older",4,3,"BATH","YARD",FALSE,4.32043,2,3,"wheelbarrow","new-new",1092
"5757ffc116d587000824703f","older",4,4,"CASINO","WOMEN",FALSE,5.286035,1,4,"stamp","new-new",1092
"5757ffc116d587000824703f","older",5,1,"SPIRIT","PENNY",FALSE,6.3885,3,1,"tray","new-new",1093
"5757ffc116d587000824703f","older",5,2,"LEAF","FEET",FALSE,5.252855,1,2,"cart","new-new",1093
"5757ffc116d587000824703f","older",5,3,"WRITER","MONTH",FALSE,9.168065,2,3,"backpack","new-new",1093
"5757ffc116d587000824703f","older",5,4,"?","SPIRIT",FALSE,6.644355,0,4,"sunflower","new-new",1093
"5757ffc116d587000824703f","older",6,1,"PLENTY","POLICY",FALSE,6.69148,1,1,"boot","mis-match",1094
"5757ffc116d587000824703f","older",6,2,"POLICY","BELT",FALSE,4.247375,3,2,"peg","new-new",1094
"5757ffc116d587000824703f","older",6,3,"BIRTH","PLENTY",FALSE,4.558425,0,3,"daisy","match",1094
"5757ffc116d587000824703f","older",6,4,"PILLS","PILLS",TRUE,4.22447,2,4,"map","old-new",1094
"5757ffc116d587000824703f","older",7,1,"RECORD","SAKE",FALSE,4.69836,1,1,"anchor","new-new",1095
"5757ffc116d587000824703f","older",7,2,"SAKE","DIRT",FALSE,6.872285,3,2,"hanger","new-new",1095
"5757ffc116d587000824703f","older",7,3,"PRINCE","RECORD",FALSE,9.990375,0,3,"frame","new-new",1095
"5757ffc116d587000824703f","older",7,4,"DIRT","PRINCE",FALSE,4.80246,2,4,"cap","new-new",1095
"5757ffc116d587000824703f","older",8,1,"STYLE","HOTEL",FALSE,4.83437,2,1,"skateboard","new-new",1096
"5757ffc116d587000824703f","older",8,2,"FOOD","DOZEN",FALSE,3.217975,3,2,"balcony","new-new",1096
"5757ffc116d587000824703f","older",8,3,"HOTEL","FOOD",FALSE,7.587565,1,3,"rug","new-new",1096
"5757ffc116d587000824703f","older",8,4,"DOZEN","STYLE",FALSE,5.76896,0,4,"aeroplane","new-new",1096
"5757ffc116d587000824703f","older",9,1,"WEAPON","LETTER",FALSE,7.21882,1,1,"stool","match",1097
"5757ffc116d587000824703f","older",9,2,"LETTER","LEADER",FALSE,3.717285,3,2,"crown","mis-match",1097
"5757ffc116d587000824703f","older",9,3,"SHOTS","SHOTS",TRUE,7.204635,2,3,"windmill","old-new",1097
"5757ffc116d587000824703f","older",9,4,"LEADER","WEAPON",FALSE,4.55168,0,4,"perfume","new-new",1097
"5757ffc116d587000824703f","older",10,1,"NIGHT","TOILET",FALSE,3.589835,2,1,"diamond","match",1098
"5757ffc116d587000824703f","older",10,2,"TYRES","NIGHT",FALSE,4.50201,0,2,"goose","new-new",1098
"5757ffc116d587000824703f","older",10,3,"CLOCK","CLOCK",TRUE,7.574335,3,3,"pencil","mis-match",1098
"5757ffc116d587000824703f","older",10,4,"THING","CARS",FALSE,5.420865,1,4,"microphone","old-new",1098
"5757ffc116d587000824703f","older",11,1,"GLASS","IDEAS",FALSE,4.165105,3,1,"sun","new-new",1099
"5757ffc116d587000824703f","older",11,2,"SERIES","GLASS",FALSE,3.884325,0,2,"dart","old-new",1099
"5757ffc116d587000824703f","older",11,3,"ESTATE","SERIES",FALSE,3.702045,1,3,"coin","match",1099
"5757ffc116d587000824703f","older",11,4,"IDEAS","ESTATE",FALSE,3.82007,2,4,"runner","mis-match",1099
"5757ffc116d587000824703f","older",12,1,"BATH","BATH",TRUE,3.54017,0,1,"taxi","new-new",1100
"5757ffc116d587000824703f","older",12,2,"TEAR","SPEECH",FALSE,3.35021,3,2,"spoon","new-new",1100
"5757ffc116d587000824703f","older",12,3,"ATTEND","TEAR",FALSE,6.40776,1,3,"calendar","new-new",1100
"5757ffc116d587000824703f","older",12,4,"SPEECH","FRIEND",FALSE,6.20729,2,4,"planet","new-new",1100
"5757ffc116d587000824703f","older",13,1,"HOUSE","PHOTO",FALSE,6.52313,1,1,"candle","old-new",1101
"5757ffc116d587000824703f","older",13,2,"PHOTO","LOTS",FALSE,4.142625,3,2,"cathedral","mis-match",1101
"5757ffc116d587000824703f","older",13,3,"SYSTEM","SYSTEM",TRUE,4.881955,2,3,"ring","match",1101
"5757ffc116d587000824703f","older",13,4,"LOTS","HOUSE",FALSE,2.936615,0,4,"mirror","new-new",1101
"5757ffc116d587000824703f","older",14,1,"CLIENT","DEMON",FALSE,4.707365,1,1,"bolt","new-new",1102
"5757ffc116d587000824703f","older",14,2,"DEMON","CLIENT",FALSE,4.238715,0,2,"telephone","old-new",1102
"5757ffc116d587000824703f","older",14,3,"RIVER","RIVER",TRUE,4.24548,3,3,"motorbike","mis-match",1102
"5757ffc116d587000824703f","older",14,4,"GIRL","GIRL",TRUE,3.725325,2,4,"basket","match",1102
"5757ffc116d587000824703f","older",15,1,"CLIENT","MOMENT",FALSE,6.30487,3,1,"mushroom","mis-match",1103
"5757ffc116d587000824703f","older",15,2,"VALLEY","KIND",FALSE,8.27583,0,2,"monkey","old-new",1103
"5757ffc116d587000824703f","older",15,3,"FAMILY","FAMILY",TRUE,4.47102,2,3,"scissors","match",1103
"5757ffc116d587000824703f","older",15,4,"FLESH","FLESH",TRUE,7.47709,1,4,"pear","new-new",1103
"5757ffc116d587000824703f","older",16,1,"YEAR","FLIGHT",FALSE,6.18932,1,1,"shovel","new-new",1104
"5757ffc116d587000824703f","older",16,2,"ARTIST","ARTIST",TRUE,6.08993,3,2,"wheel","match",1104
"5757ffc116d587000824703f","older",16,3,"FLIGHT","DANGER",FALSE,8.837545,2,3,"cherry","old-new",1104
"5757ffc116d587000824703f","older",16,4,"SYSTEM","YEAR",FALSE,5.323775,0,4,"kettle","mis-match",1104
"576144e5eaf3f80007481fce","older",1,1,"CLIENT","CLIENT",TRUE,3.798,0,1,"telephone","old-new",1137
"576144e5eaf3f80007481fce","older",1,2,"GIRL","GIRL",TRUE,3.1,2,2,"basket","match",1137
"576144e5eaf3f80007481fce","older",1,3,"RIVER","RIVER",TRUE,3.066,3,3,"motorbike","mis-match",1137
"576144e5eaf3f80007481fce","older",1,4,"DEMON","DEMON",TRUE,2.6,1,4,"bolt","new-new",1137
"576144e5eaf3f80007481fce","older",2,1,"POLICY","POLICY",TRUE,3.931,1,1,"boot","mis-match",1138
"576144e5eaf3f80007481fce","older",2,2,"PLENTY","PLENTY",TRUE,3.299,0,2,"daisy","match",1138
"576144e5eaf3f80007481fce","older",2,3,"PILLS","PILLS",TRUE,3.149,2,3,"map","old-new",1138
"576144e5eaf3f80007481fce","older",2,4,"BELT","BELT",TRUE,2.316,3,4,"peg","new-new",1138
"576144e5eaf3f80007481fce","older",3,1,"SHOTS","SHOTS",TRUE,5.915,2,1,"windmill","old-new",1139
"576144e5eaf3f80007481fce","older",3,2,"LEADER","LEADER",TRUE,2.765,3,2,"crown","mis-match",1139
"576144e5eaf3f80007481fce","older",3,3,"WEAPON","WEAPON",TRUE,3.267,0,3,"perfume","new-new",1139
"576144e5eaf3f80007481fce","older",3,4,"LETTER","LETTER",TRUE,2.583,1,4,"stool","match",1139
"576144e5eaf3f80007481fce","older",4,1,"ESTATE","ESTATE",TRUE,3.632,2,1,"runner","mis-match",1140
