"participant","trial_no","group","time","recalled","word","recall_acc","recall_rt","study_pos","test_pos","image","item_type","id"
"555b4c66fdf99b19786e3fa8",3,"younger",2,"HONEY","HONEY",TRUE,1.81587,0,2,"taxi","new-new",611
"555b4c66fdf99b19786e3fa8",3,"younger",3,"NIGHT","NIGHT",TRUE,1.081435,2,3,"cap","match",611
"555b4c66fdf99b19786e3fa8",3,"younger",4,"NATION","NATION",TRUE,0.816475,3,4,"wheelbarrow","mis-match",611
"555b4c66fdf99b19786e3fa8",4,"younger",1,"?","AGENT",FALSE,3.230415,3,1,"mushroom","new-new",612
"555b4c66fdf99b19786e3fa8",4,"younger",2,"SALE","SALE",TRUE,2.43262,1,2,"dart","match",612
"555b4c66fdf99b19786e3fa8",4,"younger",3,"?","IDEAS",FALSE,0.982295,0,3,"daisy","old-new",612
"555b4c66fdf99b19786e3fa8",4,"younger",4,"LEADER","LEADER",TRUE,1.09965,2,4,"runner","mis-match",612
"555b4c66fdf99b19786e3fa8",5,"younger",1,"CANDY","CANDY",TRUE,3.215395,0,1,"perfume","mis-match",613
"555b4c66fdf99b19786e3fa8",5,"younger",2,"CLIENT","CLIENT",TRUE,1.332295,1,2,"monkey","match",613
"555b4c66fdf99b19786e3fa8",5,"younger",3,"STYLE","STYLE",TRUE,1.699035,3,3,"pear","new-new",613
"555b4c66fdf99b19786e3fa8",5,"younger",4,"LIFE","LIFE",TRUE,1.49939,2,4,"wheel","old-new",613
"555b4c66fdf99b19786e3fa8",6,"younger",1,"WRITER","WRITER",TRUE,2.857225,2,1,"carrot","match",614
"555b4c66fdf99b19786e3fa8",6,"younger",2,"MONTH","MONTH",TRUE,2.931315,0,2,"cherry","new-new",614
"555b4c66fdf99b19786e3fa8",6,"younger",3,"BELT","BELT",TRUE,1.516105,3,3,"backpack","old-new",614
"555b4c66fdf99b19786e3fa8",6,"younger",4,"SAKE","SAKE",TRUE,1.85004,1,4,"cathedral","mis-match",614
"555b4c66fdf99b19786e3fa8",7,"younger",1,"VALLEY","VALLEY",TRUE,1.9153,1,1,"pencil","match",615
"555b4c66fdf99b19786e3fa8",7,"younger",2,"RECORD","RECORD",TRUE,2.24702,3,2,"razor","old-new",615
"555b4c66fdf99b19786e3fa8",7,"younger",3,"CASINO","CASINO",TRUE,3.616375,0,3,"watch","mis-match",615
"555b4c66fdf99b19786e3fa8",7,"younger",4,"POLIUC","POLICY",FALSE,2.149115,2,4,"skateboard","new-new",615
"555b4c66fdf99b19786e3fa8",8,"younger",1,"SYSTEM","SYSTEM",TRUE,1.6319,3,1,"scissors","new-new",616
"555b4c66fdf99b19786e3fa8",8,"younger",2,"FRIEND","FRIEND",TRUE,2.4664,2,2,"frame","match",616
"555b4c66fdf99b19786e3fa8",8,"younger",3,"JUNGLE","JUNGLE",TRUE,1.66935,0,3,"boot","mis-match",616
"555b4c66fdf99b19786e3fa8",8,"younger",4,"APPLE","APPLE",TRUE,1.899955,1,4,"pepper","old-new",616
"555b4c66fdf99b19786e3fa8",9,"younger",1,"SPIRIT","SPIRIT",TRUE,3.364,2,1,"basket","old-new",617
"555b4c66fdf99b19786e3fa8",9,"younger",2,"SHOTS","SHOTS",TRUE,1.31382,1,2,"telephone","match",617
"555b4c66fdf99b19786e3fa8",9,"younger",3,"BOYS","BOYS",TRUE,2.28316,0,3,"tyre","mis-match",617
"555b4c66fdf99b19786e3fa8",9,"younger",4,"AREA","AREA",TRUE,4.61626,3,4,"cart","new-new",617
"555b4c66fdf99b19786e3fa8",10,"younger",1,"PRINCE","PRINCE",TRUE,2.39711,0,1,"peg","new-new",618
"555b4c66fdf99b19786e3fa8",10,"younger",2,"GIRL","GIRL",TRUE,1.165615,1,2,"map","new-new",618
"555b4c66fdf99b19786e3fa8",10,"younger",3,"FEET","FEET",TRUE,1.432865,2,3,"crown","new-new",618
"555b4c66fdf99b19786e3fa8",10,"younger",4,"YEAR","YEAR",TRUE,2.716095,3,4,"coin","new-new",618
"555b4c66fdf99b19786e3fa8",11,"younger",1,"KIND","KIND",TRUE,2.18249,0,1,"kettle","new-new",619
"555b4c66fdf99b19786e3fa8",11,"younger",2,"MILE","MILE",TRUE,1.67976,2,2,"calendar","new-new",619
"555b4c66fdf99b19786e3fa8",11,"younger",3,"DUDE","DUDE",TRUE,2.432765,3,3,"tractor","new-new",619
"555b4c66fdf99b19786e3fa8",11,"younger",4,"WEAPON","WEAPON",TRUE,1.69955,1,4,"bench","new-new",619
"555b4c66fdf99b19786e3fa8",12,"younger",1,"?","BEAUTY",FALSE,2.90271,1,1,"goose","old-new",620
"555b4c66fdf99b19786e3fa8",12,"younger",2,"FOOD","FOOD",TRUE,2.161245,0,2,"gorilla","mis-match",620
