"participant","trial_no","group","time","recalled","word","recall_acc","recall_rt","study_pos","test_pos","image","item_type","id","distraction","interval","prev_assoc","ltm_intru","resp_type","tran_dist"
"559d9916fdf99b1e2b2dc6b8",13,"older",1,"IDEAS","IDEAS",TRUE,2.682175,4,1,"candle","new-new",1197,"no","2 s",NA,NA,"correct",NA
"559d9916fdf99b1e2b2dc6b8",13,"older",2,"FLESH","FLESH",TRUE,3.56909,1,2,"balcony","new-new",1197,"no","2 s",NA,NA,"correct",NA
"559d9916fdf99b1e2b2dc6b8",13,"older",3,"?","STYLE",FALSE,2.33317,3,3,"pawn","new-new",1197,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",13,"older",4,"?","SERIES",FALSE,0.615055,2,4,"coin","new-new",1197,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",14,"older",1,"?","CLIENT",FALSE,1.080725,3,1,"carrot","mis-match",1198,"no","2 s","ADVICE",0,"omission",NA
"559d9916fdf99b1e2b2dc6b8",14,"older",2,"?","SHOTS",FALSE,1.03234,2,2,"scissors","new-new",1198,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",14,"older",3,"?","LIFE",FALSE,0.800925,4,3,"razor","old-new",1198,"no","2 s","BEAUTY",0,"omission",NA
"559d9916fdf99b1e2b2dc6b8",14,"older",4,"LEADER","LEADER",TRUE,4.98703,1,4,"helmet","match",1198,"no","2 s",NA,NA,"correct",NA
"559d9916fdf99b1e2b2dc6b8",15,"older",1,"?","WRITER",FALSE,1.515005,2,1,"watch","new-new",1199,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",15,"older",2,"?","DEATH",FALSE,1.21715,3,2,"suitcase","new-new",1199,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",15,"older",3,"?","ROOF",FALSE,1.45037,1,3,"planet","new-new",1199,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",15,"older",4,"?","NIGHT",FALSE,1.13333,4,4,"cap","new-new",1199,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",16,"older",1,"YEAR","WOMEN",FALSE,7.353715,1,1,"wheel","mis-match",1200,"no","2 s","YEAR",1,"ltm",NA
"559d9916fdf99b1e2b2dc6b8",16,"older",2,"?","BODY",FALSE,1.497945,4,2,"cherry","old-new",1200,"no","2 s","MONTH",0,"omission",NA
"559d9916fdf99b1e2b2dc6b8",16,"older",3,"?","PRINCE",FALSE,0.90023,2,3,"windmill","new-new",1200,"no","2 s",NA,NA,"omission",NA
"559d9916fdf99b1e2b2dc6b8",16,"older",4,"GIRL","GIRL",TRUE,1.93528,3,4,"tray","match",1200,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",1,"younger",1,"KIND","YARD",FALSE,2.180075,4,1,"mushroom","new-new",65,"no","2 s",NA,NA,"within",1
"56f55bc0736c79000c223b3d",1,"younger",2,"PLENTY","KIND",FALSE,3.412015,3,2,"perfume","old-new",65,"no","2 s","GODS",0,"within",1
"56f55bc0736c79000c223b3d",1,"younger",3,"BOOTH","PLENTY",FALSE,3.128845,2,3,"diamond","mis-match",65,"no","2 s","THING",0,"extra",NA
"56f55bc0736c79000c223b3d",1,"younger",4,"CLOCK","CLOCK",TRUE,1.89539,1,4,"bolt","match",65,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",2,"younger",1,"?","APPLE",FALSE,3.028765,2,1,"stool","old-new",66,"no","2 s","AGENT",0,"omission",NA
"56f55bc0736c79000c223b3d",2,"younger",2,"SAKE","SAKE",TRUE,1.23152,1,2,"ring","match",66,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",2,"younger",3,"CASINO","CASINO",TRUE,3.5126,3,3,"map","mis-match",66,"no","2 s","PHOTO",0,"correct",NA
"56f55bc0736c79000c223b3d",2,"younger",4,"SPEECH","SPEECH",TRUE,2.246995,4,4,"pear","new-new",66,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",3,"younger",1,"PRINCE","PRINCE",TRUE,2.39675,2,1,"windmill","new-new",67,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",3,"younger",2,"GIRL","GIRL",TRUE,1.495755,3,2,"tray","match",67,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",3,"younger",3,"BODY","BODY",TRUE,2.54724,4,3,"cherry","old-new",67,"no","2 s","MONTH",0,"correct",NA
"56f55bc0736c79000c223b3d",3,"younger",4,"WOMEN","WOMEN",TRUE,1.829155,1,4,"wheel","mis-match",67,"no","2 s","YEAR",0,"correct",NA
"56f55bc0736c79000c223b3d",4,"younger",1,"FLIGHT","FLIGHT",TRUE,5.59335,1,1,"tyre","match",68,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",4,"younger",2,"CANDY","YEAR",FALSE,4.4097,2,2,"telephone","mis-match",68,"no","2 s","BATH",0,"within",-1
"56f55bc0736c79000c223b3d",4,"younger",3,"ARTIST","CANDY",FALSE,2.32827,3,3,"cart","new-new",68,"no","2 s",NA,NA,"within",-1
