"Words","Images","Cos","File"
"unit","boxer",0.0133397876756016,"PICTURE_21"
"union","boxer",-0.0580709689027861,"PICTURE_21"
"turkey","boxer",-0.0430107453385252,"PICTURE_21"
"tree","boxer",-0.0611158291605879,"PICTURE_21"
"truth","boxer",0.0495231391345974,"PICTURE_21"
"town","boxer",-0.102270522884976,"PICTURE_21"
"threat","boxer",0.08908167340185,"PICTURE_21"
"teeth","boxer",0.143167823180521,"PICTURE_21"
"theory","boxer",-0.025918423960538,"PICTURE_21"
"thief","boxer",-0.0366608842943493,"PICTURE_21"
"talent","boxer",0.103592039263832,"PICTURE_21"
"story","boxer",0.100023680166081,"PICTURE_21"
"style","boxer",-0.0249915235221562,"PICTURE_21"
"squad","boxer",-0.0240086797397874,"PICTURE_21"
"sister","boxer",-0.0370990916957424,"PICTURE_21"
"season","boxer",0.0307381694206663,"PICTURE_21"
"safety","boxer",-0.0569833086777559,"PICTURE_21"
"sake","boxer",-0.0739978475295866,"PICTURE_21"
"robin","boxer",-0.0681063629374112,"PICTURE_21"
"roof","boxer",0.096586643876187,"PICTURE_21"
"radar","boxer",0.050690945472879,"PICTURE_21"
"punk","boxer",0.10985764694982,"PICTURE_21"
"potter","boxer",0.041334105162015,"PICTURE_21"
"piper","boxer",-0.0884145959903747,"PICTURE_21"
"pizza","boxer",-0.0350729631544082,"PICTURE_21"
"period","boxer",-0.0426741717279838,"PICTURE_21"
"person","boxer",0.0426682322224877,"PICTURE_21"
"path","boxer",-0.0417447597724603,"PICTURE_21"
"peace","boxer",0.0760522034988739,"PICTURE_21"
"owner","boxer",0.0471847187497656,"PICTURE_21"
"others","boxer",0.0312975736134261,"PICTURE_21"
"outfit","boxer",0.0290198239882052,"PICTURE_21"
"ocean","boxer",0.014197765036332,"PICTURE_21"
"office","boxer",-0.0293379446448453,"PICTURE_21"
"object","boxer",-0.000113902700588586,"PICTURE_21"
"night","boxer",-0.00579345559145367,"PICTURE_21"
"noise","boxer",0.0153511642368368,"PICTURE_21"
"none","boxer",0.061764886260015,"PICTURE_21"
"nature","boxer",0.0917197604874241,"PICTURE_21"
"mood","boxer",0.0234809705571338,"PICTURE_21"
"mother","boxer",0.0351659729808467,"PICTURE_21"
"minute","boxer",-0.0044643219126784,"PICTURE_21"
"mister","boxer",-0.0150389624232064,"PICTURE_21"
"member","boxer",-0.098820453599479,"PICTURE_21"
"mercy","boxer",0.107869092022097,"PICTURE_21"
"maid","boxer",-0.0471244545372441,"PICTURE_21"
"loss","boxer",0.0425366534712495,"PICTURE_21"
"lover","boxer",0.0449502668671338,"PICTURE_21"
"luck","boxer",-0.0916434868616905,"PICTURE_21"
"lesson","boxer",0.0649186028265269,"PICTURE_21"
"liar","boxer",-0.100899308897292,"PICTURE_21"
"lily","boxer",-0.0144268793110559,"PICTURE_21"
"lips","boxer",0.0855862208712798,"PICTURE_21"
"lady","boxer",0.002019016436577,"PICTURE_21"
"lake","boxer",0.00802564479536216,"PICTURE_21"
"leader","boxer",-0.0876352184470443,"PICTURE_21"
"juice","boxer",0.0407437974962853,"PICTURE_21"
"killer","boxer",0.0944902014315067,"PICTURE_21"
"kind","boxer",0.0476004696855437,"PICTURE_21"
"kitty","boxer",0.0299102477805137,"PICTURE_21"
"island","boxer",-0.0167409157335872,"PICTURE_21"
"horn","boxer",0.00753447102048519,"PICTURE_21"
"hour","boxer",0.00579436493895263,"PICTURE_21"
"hero","boxer",0.0459543319519247,"PICTURE_21"
"hill","boxer",-0.0710355002619179,"PICTURE_21"
"haven","boxer",0.00291806262393286,"PICTURE_21"
"health","boxer",-0.0374847609760711,"PICTURE_21"
"hearts","boxer",-0.0159389767931807,"PICTURE_21"
"guest","boxer",-0.00973561871103235,"PICTURE_21"
"hair","boxer",0.0801711356699598,"PICTURE_21"
"genius","boxer",0.0134654340595115,"PICTURE_21"
"ghost","boxer",-0.0566033599967952,"PICTURE_21"
"gift","boxer",-0.0253789681612148,"PICTURE_21"
"glory","boxer",0.0929746478433376,"PICTURE_21"
"fact","boxer",0.200227151789663,"PICTURE_21"
"fate","boxer",0.0363171872700884,"PICTURE_21"
"expert","boxer",0.123751495117757,"PICTURE_21"
"event","boxer",-0.00748965259065114,"PICTURE_21"
"excuse","boxer",0.00856056028103602,"PICTURE_21"
"energy","boxer",-0.00301078634672601,"PICTURE_21"
"engine","boxer",0.0835911438179444,"PICTURE_21"
"dude","boxer",0.0178585838889645,"PICTURE_21"
"duke","boxer",0.0106952568903924,"PICTURE_21"
"duty","boxer",-0.0151455577994625,"PICTURE_21"
"earl","boxer",-0.0811743703411349,"PICTURE_21"
"ears","boxer",0.135954246038655,"PICTURE_21"
"desert","boxer",0.0261011919336828,"PICTURE_21"
"desk","boxer",-0.0332780798897106,"PICTURE_21"
"devil","boxer",0.0549890964493001,"PICTURE_21"
"demon","boxer",-0.00311492432929716,"PICTURE_21"
